GenBank seq accession	RefSeq seq accession	Sequence name	UCSC style name
CAWUFU020000248.1		scaffold_639	
CAWUFU020000249.1		scaffold_640	
CAWUFU020000250.1		scaffold_641	
CAWUFU020000251.1		scaffold_644	
CAWUFU020000252.1		scaffold_646	
CAWUFU020000253.1		scaffold_648	
CAWUFU020000254.1		scaffold_649	
CAWUFU020000255.1		scaffold_650	
CAWUFU020000256.1		scaffold_651	
CAWUFU020000257.1		scaffold_652	
CAWUFU020000258.1		scaffold_653	
CAWUFU020000259.1		scaffold_654	
CAWUFU020000260.1		scaffold_656	
CAWUFU020000261.1		scaffold_657	
CAWUFU020000262.1		scaffold_659	
CAWUFU020000263.1		scaffold_660	
CAWUFU020000264.1		scaffold_661	
CAWUFU020000265.1		scaffold_662	
CAWUFU020000266.1		scaffold_663	
CAWUFU020000267.1		scaffold_664	
CAWUFU020000268.1		scaffold_665	
CAWUFU020000269.1		scaffold_666	
CAWUFU020000270.1		scaffold_668	
CAWUFU020000271.1		scaffold_669	
CAWUFU020000272.1		scaffold_670	
CAWUFU020000273.1		scaffold_671	
CAWUFU020000274.1		scaffold_672	
CAWUFU020000275.1		scaffold_673	
CAWUFU020000276.1		scaffold_674	
CAWUFU020000277.1		scaffold_676	
CAWUFU020000278.1		scaffold_678	
CAWUFU020000279.1		scaffold_679	
CAWUFU020000280.1		scaffold_680	
CAWUFU020000281.1		scaffold_683	
CAWUFU020000282.1		scaffold_685	
CAWUFU020000283.1		scaffold_686	
CAWUFU020000284.1		scaffold_688	
CAWUFU020000285.1		scaffold_689	
CAWUFU020000286.1		scaffold_690	
CAWUFU020000287.1		scaffold_691	
CAWUFU020000288.1		scaffold_693	
CAWUFU020000289.1		scaffold_695	
CAWUFU020000290.1		scaffold_696	
CAWUFU020000291.1		scaffold_697	
CAWUFU020000292.1		scaffold_698	
CAWUFU020000293.1		scaffold_699	
CAWUFU020000294.1		scaffold_700	
CAWUFU020000295.1		scaffold_701	
CAWUFU020000296.1		scaffold_702	
CAWUFU020000297.1		scaffold_703	
CAWUFU020000298.1		scaffold_704	
CAWUFU020000299.1		scaffold_705	
CAWUFU020000300.1		scaffold_706	
CAWUFU020000301.1		scaffold_707	
CAWUFU020000302.1		scaffold_708	
CAWUFU020000303.1		scaffold_709	
CAWUFU020000304.1		scaffold_710	
CAWUFU020000305.1		scaffold_711	
CAWUFU020000306.1		scaffold_712	
CAWUFU020000307.1		scaffold_713	
CAWUFU020000308.1		scaffold_716	
CAWUFU020000309.1		scaffold_717	
CAWUFU020000310.1		scaffold_718	
CAWUFU020000311.1		scaffold_719	
CAWUFU020000312.1		scaffold_720	
CAWUFU020000313.1		scaffold_721	
CAWUFU020000314.1		scaffold_722	
CAWUFU020000315.1		scaffold_723	
CAWUFU020000316.1		scaffold_724	
CAWUFU020000317.1		scaffold_727	
CAWUFU020000318.1		scaffold_729	
CAWUFU020000319.1		scaffold_731	
CAWUFU020000320.1		scaffold_733	
CAWUFU020000321.1		scaffold_734	
CAWUFU020000322.1		scaffold_735	
CAWUFU020000323.1		scaffold_736	
CAWUFU020000324.1		scaffold_737	
CAWUFU020000325.1		scaffold_739	
CAWUFU020000326.1		scaffold_740	
CAWUFU020000327.1		scaffold_741	
CAWUFU020000328.1		scaffold_744	
CAWUFU020000329.1		scaffold_747	
CAWUFU020000330.1		scaffold_748	
CAWUFU020000331.1		scaffold_749	
CAWUFU020000332.1		scaffold_750	
CAWUFU020000333.1		scaffold_751	
CAWUFU020000334.1		scaffold_752	
CAWUFU020000335.1		scaffold_753	
CAWUFU020000336.1		scaffold_754	
CAWUFU020000337.1		scaffold_757	
CAWUFU020000338.1		scaffold_759	
CAWUFU020000339.1		scaffold_760	
CAWUFU020000340.1		scaffold_761	
CAWUFU020000341.1		scaffold_762	
CAWUFU020000342.1		scaffold_763	
CAWUFU020000343.1		scaffold_764	
CAWUFU020000344.1		scaffold_766	
CAWUFU020000345.1		scaffold_767	
CAWUFU020000346.1		scaffold_768	
CAWUFU020000347.1		scaffold_769	
CAWUFU020000348.1		scaffold_771	
CAWUFU020000349.1		scaffold_772	
CAWUFU020000350.1		scaffold_773	
CAWUFU020000351.1		scaffold_774	
CAWUFU020000352.1		scaffold_775	
CAWUFU020000353.1		scaffold_776	
CAWUFU020000354.1		scaffold_777	
CAWUFU020000355.1		scaffold_778	
CAWUFU020000356.1		scaffold_779	
CAWUFU020000357.1		scaffold_780	
CAWUFU020000358.1		scaffold_781	
CAWUFU020000359.1		scaffold_784	
CAWUFU020000360.1		scaffold_785	
CAWUFU020000361.1		scaffold_786	
CAWUFU020000362.1		scaffold_787	
CAWUFU020000363.1		scaffold_788	
CAWUFU020000364.1		scaffold_790	
CAWUFU020000365.1		scaffold_791	
CAWUFU020000366.1		scaffold_793	
CAWUFU020000367.1		scaffold_795	
CAWUFU020000368.1		scaffold_796	
CAWUFU020000369.1		scaffold_797	
CAWUFU020000370.1		scaffold_798	
CAWUFU020000371.1		scaffold_799	
CAWUFU020000372.1		scaffold_800	
CAWUFU020000373.1		scaffold_803	
CAWUFU020000374.1		scaffold_804	
CAWUFU020000375.1		scaffold_805	
CAWUFU020000376.1		scaffold_806	
CAWUFU020000377.1		scaffold_807	
CAWUFU020000378.1		scaffold_808	
CAWUFU020000379.1		scaffold_809	
CAWUFU020000380.1		scaffold_810	
CAWUFU020000381.1		scaffold_811	
CAWUFU020000382.1		scaffold_813	
CAWUFU020000383.1		scaffold_814	
CAWUFU020000384.1		scaffold_815	
CAWUFU020000385.1		scaffold_817	
CAWUFU020000386.1		scaffold_818	
CAWUFU020000387.1		scaffold_819	
CAWUFU020000388.1		scaffold_820	
CAWUFU020000389.1		scaffold_821	
CAWUFU020000390.1		scaffold_822	
CAWUFU020000391.1		scaffold_823	
CAWUFU020000392.1		scaffold_824	
CAWUFU020000393.1		scaffold_825	
CAWUFU020000394.1		scaffold_826	
CAWUFU020000395.1		scaffold_827	
CAWUFU020000396.1		scaffold_828	
CAWUFU020000397.1		scaffold_831	
CAWUFU020000398.1		scaffold_832	
CAWUFU020000399.1		scaffold_833	
CAWUFU020000400.1		scaffold_835	
CAWUFU020000401.1		scaffold_836	
CAWUFU020000402.1		scaffold_837	
CAWUFU020000403.1		scaffold_838	
CAWUFU020000404.1		scaffold_839	
CAWUFU020000405.1		scaffold_840	
CAWUFU020000406.1		scaffold_841	
CAWUFU020000407.1		scaffold_843	
CAWUFU020000408.1		scaffold_844	
CAWUFU020000409.1		scaffold_845	
CAWUFU020000410.1		scaffold_846	
CAWUFU020000411.1		scaffold_848	
CAWUFU020000412.1		scaffold_850	
CAWUFU020000413.1		scaffold_851	
CAWUFU020000414.1		scaffold_852	
CAWUFU020000415.1		scaffold_853	
CAWUFU020000416.1		scaffold_855	
CAWUFU020000417.1		scaffold_856	
CAWUFU020000418.1		scaffold_857	
CAWUFU020000419.1		scaffold_858	
CAWUFU020000420.1		scaffold_859	
CAWUFU020000421.1		scaffold_863	
CAWUFU020000422.1		scaffold_864	
CAWUFU020000423.1		scaffold_865	
CAWUFU020000424.1		scaffold_866	
CAWUFU020000425.1		scaffold_868	
CAWUFU020000426.1		scaffold_869	
CAWUFU020000427.1		scaffold_870	
CAWUFU020000428.1		scaffold_871	
CAWUFU020000429.1		scaffold_872	
CAWUFU020000430.1		scaffold_873	
CAWUFU020000431.1		scaffold_874	
CAWUFU020000432.1		scaffold_875	
CAWUFU020000433.1		scaffold_876	
CAWUFU020000434.1		scaffold_877	
CAWUFU020000435.1		scaffold_878	
CAWUFU020000436.1		scaffold_879	
CAWUFU020000437.1		scaffold_880	
CAWUFU020000438.1		scaffold_881	
CAWUFU020000439.1		scaffold_882	
CAWUFU020000440.1		scaffold_883	
CAWUFU020000441.1		scaffold_884	
CAWUFU020000442.1		scaffold_885	
CAWUFU020000443.1		scaffold_886	
CAWUFU020000444.1		scaffold_887	
CAWUFU020000445.1		scaffold_889	
CAWUFU020000446.1		scaffold_890	
CAWUFU020000447.1		scaffold_891	
CAWUFU020000448.1		scaffold_892	
CAWUFU020000449.1		scaffold_894	
CAWUFU020000450.1		scaffold_895	
CAWUFU020000451.1		scaffold_896	
CAWUFU020000452.1		scaffold_897	
CAWUFU020000453.1		scaffold_898	
CAWUFU020000454.1		scaffold_899	
CAWUFU020000455.1		scaffold_901	
CAWUFU020000456.1		scaffold_902	
CAWUFU020000457.1		scaffold_903	
CAWUFU020000458.1		scaffold_904	
CAWUFU020000459.1		scaffold_907	
CAWUFU020000460.1		scaffold_908	
CAWUFU020000461.1		scaffold_910	
CAWUFU020000462.1		scaffold_911	
CAWUFU020000463.1		scaffold_912	
CAWUFU020000464.1		scaffold_914	
CAWUFU020000465.1		scaffold_915	
CAWUFU020000466.1		scaffold_916	
CAWUFU020000467.1		scaffold_917	
CAWUFU020000468.1		scaffold_918	
CAWUFU020000469.1		scaffold_919	
CAWUFU020000470.1		scaffold_920	
CAWUFU020000471.1		scaffold_921	
CAWUFU020000472.1		scaffold_922	
CAWUFU020000473.1		scaffold_923	
CAWUFU020000474.1		scaffold_924	
CAWUFU020000475.1		scaffold_925	
CAWUFU020000476.1		scaffold_927	
CAWUFU020000477.1		scaffold_929	
CAWUFU020000478.1		scaffold_930	
CAWUFU020000479.1		scaffold_931	
CAWUFU020000480.1		scaffold_932	
CAWUFU020000481.1		scaffold_934	
CAWUFU020000482.1		scaffold_935	
CAWUFU020000483.1		scaffold_937	
CAWUFU020000484.1		scaffold_938	
CAWUFU020000485.1		scaffold_939	
CAWUFU020000486.1		scaffold_940	
CAWUFU020000487.1		scaffold_941	
CAWUFU020000488.1		scaffold_942	
CAWUFU020000489.1		scaffold_943	
CAWUFU020000490.1		scaffold_945	
CAWUFU020000491.1		scaffold_946	
CAWUFU020000492.1		scaffold_948	
CAWUFU020000493.1		scaffold_949	
CAWUFU020000494.1		scaffold_950	
CAWUFU020000495.1		scaffold_951	
CAWUFU020000496.1		scaffold_952	
CAWUFU020000497.1		scaffold_953	
CAWUFU020000498.1		scaffold_954	
CAWUFU020000499.1		scaffold_956	
CAWUFU020000500.1		scaffold_957	
CAWUFU020000501.1		scaffold_960	
CAWUFU020000502.1		scaffold_961	
CAWUFU020000503.1		scaffold_964	
CAWUFU020000504.1		scaffold_965	
CAWUFU020000505.1		scaffold_967	
CAWUFU020000506.1		scaffold_968	
CAWUFU020000507.1		scaffold_969	
CAWUFU020000508.1		scaffold_970	
CAWUFU020000509.1		scaffold_972	
CAWUFU020000510.1		scaffold_973	
CAWUFU020000511.1		scaffold_974	
CAWUFU020000512.1		scaffold_976	
CAWUFU020000513.1		scaffold_977	
CAWUFU020000514.1		scaffold_978	
CAWUFU020000515.1		scaffold_980	
CAWUFU020000516.1		scaffold_981	
CAWUFU020000517.1		scaffold_982	
CAWUFU020000518.1		scaffold_983	
CAWUFU020000519.1		scaffold_984	
CAWUFU020000520.1		scaffold_985	
CAWUFU020000521.1		scaffold_986	
CAWUFU020000522.1		scaffold_987	
CAWUFU020000523.1		scaffold_988	
CAWUFU020000524.1		scaffold_991	
CAWUFU020000525.1		scaffold_992	
CAWUFU020000526.1		scaffold_994	
CAWUFU020000527.1		scaffold_995	
CAWUFU020000528.1		scaffold_996	
CAWUFU020000529.1		scaffold_997	
CAWUFU020000530.1		scaffold_998	
CAWUFU020000531.1		scaffold_999	
CAWUFU020000532.1		scaffold_1000	
CAWUFU020000533.1		scaffold_1001	
CAWUFU020000534.1		scaffold_1002	
CAWUFU020000535.1		scaffold_1003	
CAWUFU020000536.1		scaffold_1004	
CAWUFU020000537.1		scaffold_1006	
CAWUFU020000538.1		scaffold_1007	
CAWUFU020000539.1		scaffold_1008	
CAWUFU020000540.1		scaffold_1009	
CAWUFU020000541.1		scaffold_1011	
CAWUFU020000542.1		scaffold_1013	
CAWUFU020000543.1		scaffold_1014	
CAWUFU020000544.1		scaffold_1015	
CAWUFU020000545.1		scaffold_1016	
CAWUFU020000546.1		scaffold_1017	
CAWUFU020000547.1		scaffold_1018	
CAWUFU020000548.1		scaffold_1019	
CAWUFU020000549.1		scaffold_1020	
CAWUFU020000550.1		scaffold_1021	
CAWUFU020000551.1		scaffold_1022	
CAWUFU020000552.1		scaffold_1023	
CAWUFU020000553.1		scaffold_1024	
CAWUFU020000554.1		scaffold_1025	
CAWUFU020000555.1		scaffold_1027	
CAWUFU020000556.1		scaffold_1028	
CAWUFU020000557.1		scaffold_1030	
CAWUFU020000558.1		scaffold_1031	
CAWUFU020000559.1		scaffold_1032	
CAWUFU020000560.1		scaffold_1033	
CAWUFU020000561.1		scaffold_1035	
CAWUFU020000562.1		scaffold_1036	
CAWUFU020000563.1		scaffold_1037	
CAWUFU020000564.1		scaffold_1038	
CAWUFU020000565.1		scaffold_1039	
CAWUFU020000566.1		scaffold_1040	
CAWUFU020000567.1		scaffold_1042	
CAWUFU020000568.1		scaffold_1043	
CAWUFU020000569.1		scaffold_1044	
CAWUFU020000570.1		scaffold_1046	
CAWUFU020000571.1		scaffold_1047	
CAWUFU020000572.1		scaffold_1048	
CAWUFU020000573.1		scaffold_1049	
CAWUFU020000574.1		scaffold_1050	
CAWUFU020000575.1		scaffold_1051	
CAWUFU020000576.1		scaffold_1052	
CAWUFU020000577.1		scaffold_1053	
CAWUFU020000578.1		scaffold_1054	
CAWUFU020000579.1		scaffold_1056	
CAWUFU020000580.1		scaffold_1058	
CAWUFU020000581.1		scaffold_1059	
CAWUFU020000582.1		scaffold_1060	
CAWUFU020000583.1		scaffold_1061	
CAWUFU020000584.1		scaffold_1062	
CAWUFU020000585.1		scaffold_1063	
CAWUFU020000586.1		scaffold_1064	
CAWUFU020000587.1		scaffold_1065	
CAWUFU020000588.1		scaffold_1067	
CAWUFU020000589.1		scaffold_1068	
CAWUFU020000590.1		scaffold_1070	
CAWUFU020000591.1		scaffold_1071	
CAWUFU020000592.1		scaffold_1072	
CAWUFU020000593.1		scaffold_1073	
CAWUFU020000594.1		scaffold_1074	
CAWUFU020000595.1		scaffold_1075	
CAWUFU020000596.1		scaffold_1076	
CAWUFU020000597.1		scaffold_1077	
CAWUFU020000598.1		scaffold_1078	
CAWUFU020000599.1		scaffold_1079	
CAWUFU020000600.1		scaffold_1080	
CAWUFU020000601.1		scaffold_1081	
CAWUFU020000602.1		scaffold_1084	
CAWUFU020000603.1		scaffold_1085	
CAWUFU020000604.1		scaffold_1086	
CAWUFU020000605.1		scaffold_1089	
CAWUFU020000606.1		scaffold_1090	
CAWUFU020000607.1		scaffold_1091	
CAWUFU020000608.1		scaffold_1092	
CAWUFU020000609.1		scaffold_1093	
CAWUFU020000610.1		scaffold_1094	
CAWUFU020000611.1		scaffold_1095	
CAWUFU020000612.1		scaffold_1096	
CAWUFU020000613.1		scaffold_1097	
CAWUFU020000614.1		scaffold_1098	
CAWUFU020000615.1		scaffold_1099	
CAWUFU020000616.1		scaffold_1101	
CAWUFU020000617.1		scaffold_1102	
CAWUFU020000618.1		scaffold_1103	
CAWUFU020000619.1		scaffold_1104	
CAWUFU020000620.1		scaffold_1106	
CAWUFU020000621.1		scaffold_1107	
CAWUFU020000622.1		scaffold_1108	
CAWUFU020000623.1		scaffold_1109	
CAWUFU020000624.1		scaffold_1110	
CAWUFU020000625.1		scaffold_1111	
CAWUFU020000626.1		scaffold_1113	
CAWUFU020000627.1		scaffold_1114	
CAWUFU020000628.1		scaffold_1115	
CAWUFU020000629.1		scaffold_1116	
CAWUFU020000630.1		scaffold_1117	
CAWUFU020000631.1		scaffold_1118	
CAWUFU020000632.1		scaffold_1119	
CAWUFU020000633.1		scaffold_1120	
CAWUFU020000634.1		scaffold_1122	
CAWUFU020000635.1		scaffold_1124	
CAWUFU020000636.1		scaffold_1126	
CAWUFU020000637.1		scaffold_1127	
CAWUFU020000638.1		scaffold_1128	
CAWUFU020000639.1		scaffold_1129	
CAWUFU020000640.1		scaffold_1130	
CAWUFU020000641.1		scaffold_1131	
CAWUFU020000642.1		scaffold_1132	
CAWUFU020000643.1		scaffold_1133	
CAWUFU020000644.1		scaffold_1134	
CAWUFU020000645.1		scaffold_1135	
CAWUFU020000646.1		scaffold_1136	
CAWUFU020000647.1		scaffold_1137	
CAWUFU020000648.1		scaffold_1138	
CAWUFU020000649.1		scaffold_1139	
CAWUFU020000650.1		scaffold_1140	
CAWUFU020000651.1		scaffold_1141	
CAWUFU020000652.1		scaffold_1142	
CAWUFU020000653.1		scaffold_1143	
CAWUFU020000654.1		scaffold_1144	
CAWUFU020000655.1		scaffold_1145	
CAWUFU020000656.1		scaffold_1146	
CAWUFU020000657.1		scaffold_1147	
CAWUFU020000658.1		scaffold_1148	
CAWUFU020000659.1		scaffold_1149	
CAWUFU020000660.1		scaffold_1150	
CAWUFU020000661.1		scaffold_1151	
CAWUFU020000662.1		scaffold_1152	
CAWUFU020000663.1		scaffold_1153	
CAWUFU020000664.1		scaffold_1154	
CAWUFU020000665.1		scaffold_1155	
CAWUFU020000666.1		scaffold_1156	
CAWUFU020000667.1		scaffold_1157	
CAWUFU020000668.1		scaffold_1158	
CAWUFU020000669.1		scaffold_1159	
CAWUFU020000670.1		scaffold_1160	
CAWUFU020000671.1		scaffold_1161	
CAWUFU020000672.1		scaffold_1162	
CAWUFU020000673.1		scaffold_1163	
CAWUFU020000674.1		scaffold_1164	
CAWUFU020000675.1		scaffold_1165	
CAWUFU020000676.1		scaffold_1166	
CAWUFU020000677.1		scaffold_1167	
CAWUFU020000678.1		scaffold_1168	
CAWUFU020000679.1		scaffold_1169	
