1	CM000663.2	chr1	NC_000001.11
10	CM000672.2	chr10	NC_000010.11
11	CM000673.2	chr11	NC_000011.10
12	CM000674.2	chr12	NC_000012.12
13	CM000675.2	chr13	NC_000013.11
14	CM000676.2	chr14	NC_000014.9
15	CM000677.2	chr15	NC_000015.10
16	CM000678.2	chr16	NC_000016.10
17	CM000679.2	chr17	NC_000017.11
18	CM000680.2	chr18	NC_000018.10
19	CM000681.2	chr19	NC_000019.10
2	CM000664.2	chr2	NC_000002.12
20	CM000682.2	chr20	NC_000020.11
21	CM000683.2	chr21	NC_000021.9
22	CM000684.2	chr22	NC_000022.11
3	CM000665.2	chr3	NC_000003.12
4	CM000666.2	chr4	NC_000004.12
5	CM000667.2	chr5	NC_000005.10
6	CM000668.2	chr6	NC_000006.12
7	CM000669.2	chr7	NC_000007.14
8	CM000670.2	chr8	NC_000008.11
9	CM000671.2	chr9	NC_000009.12
GL000008.2	chr4_GL000008v2_random	NT_113793.3
KI270448.1	chrUn_KI270448v1	NT_187495.1
KI270465.1	chrUn_KI270465v1	NT_187422.1
KI270466.1	chrUn_KI270466v1	NT_187421.1
KI270467.1	chrUn_KI270467v1	NT_187423.1
KI270468.1	chrUn_KI270468v1	NT_187426.1
KI270507.1	chrUn_KI270507v1	NT_187437.1
KI270508.1	chrUn_KI270508v1	NT_187430.1
KI270509.1	chrUn_KI270509v1	NT_187428.1
KI270510.1	chrUn_KI270510v1	NT_187427.1
KI270511.1	chrUn_KI270511v1	NT_187435.1
KI270512.1	chrUn_KI270512v1	NT_187432.1
KI270515.1	chrUn_KI270515v1	NT_187436.1
KI270516.1	chrUn_KI270516v1	NT_187431.1
KI270517.1	chrUn_KI270517v1	NT_187438.1
KI270518.1	chrUn_KI270518v1	NT_187429.1
KI270519.1	chrUn_KI270519v1	NT_187433.1
KI270521.1	chrUn_KI270521v1	NT_187496.1
KI270522.1	chrUn_KI270522v1	NT_187434.1
KI270528.1	chrUn_KI270528v1	NT_187440.1
KI270529.1	chrUn_KI270529v1	NT_187439.1
KI270530.1	chrUn_KI270530v1	NT_187441.1
KI270538.1	chrUn_KI270538v1	NT_187443.1
KI270539.1	chrUn_KI270539v1	NT_187442.1
KI270544.1	chrUn_KI270544v1	NT_187444.1
KI270548.1	chrUn_KI270548v1	NT_187445.1
KI270579.1	chrUn_KI270579v1	NT_187450.1
KI270580.1	chrUn_KI270580v1	NT_187448.1
KI270581.1	chrUn_KI270581v1	NT_187449.1
KI270582.1	chrUn_KI270582v1	NT_187454.1
KI270583.1	chrUn_KI270583v1	NT_187446.1
KI270584.1	chrUn_KI270584v1	NT_187453.1
KI270587.1	chrUn_KI270587v1	NT_187447.1
KI270588.1	chrUn_KI270588v1	NT_187455.1
KI270589.1	chrUn_KI270589v1	NT_187451.1
KI270590.1	chrUn_KI270590v1	NT_187452.1
KI270591.1	chrUn_KI270591v1	NT_187457.1
KI270593.1	chrUn_KI270593v1	NT_187456.1
KI270706.1	chr1_KI270706v1_random	NT_187361.1
KI270707.1	chr1_KI270707v1_random	NT_187362.1
KI270708.1	chr1_KI270708v1_random	NT_187363.1
KI270709.1	chr1_KI270709v1_random	NT_187364.1
KI270710.1	chr1_KI270710v1_random	NT_187365.1
KI270711.1	chr1_KI270711v1_random	NT_187366.1
KI270712.1	chr1_KI270712v1_random	NT_187367.1
KI270713.1	chr1_KI270713v1_random	NT_187368.1
KI270714.1	chr1_KI270714v1_random	NT_187369.1
KI270715.1	chr2_KI270715v1_random	NT_187370.1
KI270716.1	chr2_KI270716v1_random	NT_187371.1
KI270717.1	chr9_KI270717v1_random	NT_187372.1
KI270718.1	chr9_KI270718v1_random	NT_187373.1
KI270719.1	chr9_KI270719v1_random	NT_187374.1
KI270720.1	chr9_KI270720v1_random	NT_187375.1
KI270721.1	chr11_KI270721v1_random	NT_187376.1
KI270722.1	chr14_KI270722v1_random	NT_187377.1
KI270723.1	chr14_KI270723v1_random	NT_187378.1
KI270724.1	chr14_KI270724v1_random	NT_187379.1
KI270725.1	chr14_KI270725v1_random	NT_187380.1
KI270726.1	chr14_KI270726v1_random	NT_187381.1
KI270727.1	chr15_KI270727v1_random	NT_187382.1
KI270728.1	chr16_KI270728v1_random	NT_187383.1
KI270729.1	chr17_KI270729v1_random	NT_187384.1
KI270730.1	chr17_KI270730v1_random	NT_187385.1
KI270731.1	chr22_KI270731v1_random	NT_187386.1
KI270732.1	chr22_KI270732v1_random	NT_187387.1
KI270733.1	chr22_KI270733v1_random	NT_187388.1
KI270734.1	chr22_KI270734v1_random	NT_187389.1
KI270735.1	chr22_KI270735v1_random	NT_187390.1
KI270736.1	chr22_KI270736v1_random	NT_187391.1
KI270737.1	chr22_KI270737v1_random	NT_187392.1
KI270738.1	chr22_KI270738v1_random	NT_187393.1
KI270739.1	chr22_KI270739v1_random	NT_187394.1
KI270740.1	chrY_KI270740v1_random	NT_187395.1
KI270741.1	chrUn_KI270741v1	NT_187497.1
KI270742.1	chrUn_KI270742v1	NT_187513.1
KI270743.1	chrUn_KI270743v1	NT_187498.1
KI270744.1	chrUn_KI270744v1	NT_187499.1
KI270745.1	chrUn_KI270745v1	NT_187500.1
KI270746.1	chrUn_KI270746v1	NT_187501.1
KI270747.1	chrUn_KI270747v1	NT_187502.1
KI270748.1	chrUn_KI270748v1	NT_187503.1
KI270749.1	chrUn_KI270749v1	NT_187504.1
KI270750.1	chrUn_KI270750v1	NT_187505.1
KI270751.1	chrUn_KI270751v1	NT_187506.1
KI270752.1	chrUn_KI270752v1	NT_187507.1
KI270753.1	chrUn_KI270753v1	NT_187508.1
KI270754.1	chrUn_KI270754v1	NT_187509.1
KI270755.1	chrUn_KI270755v1	NT_187510.1
KI270756.1	chrUn_KI270756v1	NT_187511.1
KI270757.1	chrUn_KI270757v1	NT_187512.1
MT	chrM	J01415.2	NC_012920.1
X	CM000685.2	chrX	NC_000023.11
Y	CM000686.2	chrY	NC_000024.10
